Operacao,Estrutura,k,Esparsidade,Tempo_ns,Memoria_Bytes
SOMA,Hash,1,2.5e-09,596992,640464
SOMA,Tree,1,2.5e-09,2427,576
MULT,Hash,1,2.5e-09,490302,640000
MULT,Tree,1,2.5e-09,383,0
TRANS,Hash,1,2.5e-09,35,0
TRANS,Tree,1,2.5e-09,35,0
ESCALAR,Hash,1,2.5e-09,102717,0
ESCALAR,Tree,1,2.5e-09,142,0
SET,Hash,1,2.5e-09,964,640336
SET,Tree,1,2.5e-09,1226,288
GET,Hash,1,2.5e-09,186,0
GET,Tree,1,2.5e-09,187,0
SOMA,Hash,2,5e-09,307576,640720
SOMA,Tree,2,5e-09,2592,1152
MULT,Hash,2,5e-09,221182,640000
MULT,Tree,2,5e-09,239,0
TRANS,Hash,2,5e-09,20,0
TRANS,Tree,2,5e-09,22,0
ESCALAR,Hash,2,5e-09,49677,0
ESCALAR,Tree,2,5e-09,101,0
SET,Hash,2,5e-09,872,640464
SET,Tree,2,5e-09,1207,576
GET,Hash,2,5e-09,142,0
GET,Tree,2,5e-09,216,0
SOMA,Hash,3,7.5e-09,338133,640976
SOMA,Tree,3,7.5e-09,3937,1728
MULT,Hash,3,7.5e-09,287571,640000
MULT,Tree,3,7.5e-09,350,0
TRANS,Hash,3,7.5e-09,20,0
TRANS,Tree,3,7.5e-09,22,0
ESCALAR,Hash,3,7.5e-09,49707,0
ESCALAR,Tree,3,7.5e-09,145,0
SET,Hash,3,7.5e-09,1141,640592
SET,Tree,3,7.5e-09,2049,864
GET,Hash,3,7.5e-09,180,0
GET,Tree,3,7.5e-09,293,0
SOMA,Hash,4,1e-08,345713,641232
SOMA,Tree,4,1e-08,5245,2304
MULT,Hash,4,1e-08,287670,640000
MULT,Tree,4,1e-08,457,0
TRANS,Hash,4,1e-08,22,0
TRANS,Tree,4,1e-08,21,0
ESCALAR,Hash,4,1e-08,49661,0
ESCALAR,Tree,4,1e-08,244,0
SET,Hash,4,1e-08,1484,640720
SET,Tree,4,1e-08,2550,1152
GET,Hash,4,1e-08,246,0
GET,Tree,4,1e-08,423,0
SOMA,Hash,5,1.25e-08,347393,641488
SOMA,Tree,5,1.25e-08,6605,2880
MULT,Hash,5,1.25e-08,284641,640000
MULT,Tree,5,1.25e-08,583,0
TRANS,Hash,5,1.25e-08,21,0
TRANS,Tree,5,1.25e-08,22,0
ESCALAR,Hash,5,1.25e-08,49625,0
ESCALAR,Tree,5,1.25e-08,247,0
SET,Hash,5,1.25e-08,1877,640848
SET,Tree,5,1.25e-08,3236,1440
GET,Hash,5,1.25e-08,307,0
GET,Tree,5,1.25e-08,552,0
SOMA,Hash,6,1.5e-08,301467,641744
SOMA,Tree,6,1.5e-08,7781,3456
MULT,Hash,6,1.5e-08,347510,640000
MULT,Tree,6,1.5e-08,1109,0
TRANS,Hash,6,1.5e-08,21,0
TRANS,Tree,6,1.5e-08,22,0
ESCALAR,Hash,6,1.5e-08,50064,0
ESCALAR,Tree,6,1.5e-08,265,0
SET,Hash,6,1.5e-08,2354,640976
SET,Tree,6,1.5e-08,4460,1728
GET,Hash,6,1.5e-08,484,0
GET,Tree,6,1.5e-08,616,0
SOMA,Hash,7,1.75e-08,368606,642464
SOMA,Tree,7,1.75e-08,9231,4032
MULT,Hash,7,1.75e-08,290633,640000
MULT,Tree,7,1.75e-08,865,0
TRANS,Hash,7,1.75e-08,29,0
TRANS,Tree,7,1.75e-08,21,0
ESCALAR,Hash,7,1.75e-08,49764,0
ESCALAR,Tree,7,1.75e-08,284,0
SET,Hash,7,1.75e-08,2264,641104
SET,Tree,7,1.75e-08,4506,2016
GET,Hash,7,1.75e-08,341,0
GET,Tree,7,1.75e-08,795,0
SOMA,Hash,8,2e-08,355512,642720
SOMA,Tree,8,2e-08,10814,4608
MULT,Hash,8,2e-08,294644,640000
MULT,Tree,8,2e-08,799,0
TRANS,Hash,8,2e-08,20,0
TRANS,Tree,8,2e-08,25,0
