Operacao,Estrutura,N,Esparsidade,Tempo_ns,Memoria_Bytes
TRANS,Densa,100,0.01,103287,83200
TRANS,Est1(Hash),100,0.01,288,0
TRANS,Est2(Tree),100,0.01,31,0
SOMA,Densa,100,0.01,138803,83200
SOMA,Est1(Hash),100,0.01,63499,36432
SOMA,Est2(Tree),100,0.01,134278,37512
MULT,Densa,100,0.01,7759681,83200
MULT,Est1(Hash),100,0.01,62876,18624
MULT,Est2(Tree),100,0.01,110998,18488
ESCALAR,Densa,100,0.01,59195,0
ESCALAR,Est1(Hash),100,0.01,1589,0
ESCALAR,Est2(Tree),100,0.01,3934,0
SET,Densa,100,0.01,1836,83200
SET,Est1(Hash),100,0.01,51913,19648
SET,Est2(Tree),100,0.01,92997,22464
GET,Densa,100,0.01,1750,0
GET,Est1(Hash),100,0.01,5940,0
GET,Est2(Tree),100,0.01,16893,0
TRANS,Densa,100,0.05,145329,83200
TRANS,Est1(Hash),100,0.05,149,0
TRANS,Est2(Tree),100,0.05,66,0
SOMA,Densa,100,0.05,238071,83200
SOMA,Est1(Hash),100,0.05,607608,161520
SOMA,Est2(Tree),100,0.05,1169354,126240
MULT,Densa,100,0.05,7732874,83200
MULT,Est1(Hash),100,0.05,710477,353856
MULT,Est2(Tree),100,0.05,2024351,261448
ESCALAR,Densa,100,0.05,35821,0
ESCALAR,Est1(Hash),100,0.05,3224,0
ESCALAR,Est2(Tree),100,0.05,9204,0
SET,Densa,100,0.05,5606,83200
SET,Est1(Hash),100,0.05,140194,83616
SET,Est2(Tree),100,0.05,310133,73424
GET,Densa,100,0.05,4715,0
GET,Est1(Hash),100,0.05,23286,0
GET,Est2(Tree),100,0.05,82656,0
TRANS,Densa,100,0.1,85747,83200
TRANS,Est1(Hash),100,0.1,45,0
TRANS,Est2(Tree),100,0.1,22,0
SOMA,Densa,100,0.1,126616,83200
SOMA,Est1(Hash),100,0.1,594911,317888
SOMA,Est2(Tree),100,0.1,1362657,230064
MULT,Densa,100,0.1,6933556,83200
MULT,Est1(Hash),100,0.1,2253879,1132224
MULT,Est2(Tree),100,0.1,7048113,727568
ESCALAR,Densa,100,0.1,36407,0
ESCALAR,Est1(Hash),100,0.1,4083,0
ESCALAR,Est2(Tree),100,0.1,15719,0
SET,Densa,100,0.1,11835,83200
SET,Est1(Hash),100,0.1,266788,165360
SET,Est2(Tree),100,0.1,638385,129600
GET,Densa,100,0.1,9392,0
GET,Est1(Hash),100,0.1,47993,0
GET,Est2(Tree),100,0.1,171291,0
TRANS,Densa,100,0.2,92755,83200
TRANS,Est1(Hash),100,0.2,99,0
TRANS,Est2(Tree),100,0.2,26,0
SOMA,Densa,100,0.2,132130,83200
SOMA,Est1(Hash),100,0.2,938789,618032
SOMA,Est2(Tree),100,0.2,2791751,421472
MULT,Densa,100,0.2,6925444,83200
MULT,Est1(Hash),100,0.2,5056314,1578304
MULT,Est2(Tree),100,0.2,21363631,1117888
ESCALAR,Densa,100,0.2,35937,0
ESCALAR,Est1(Hash),100,0.2,8047,0
ESCALAR,Est2(Tree),100,0.2,28779,0
SET,Densa,100,0.2,22918,83200
SET,Est1(Hash),100,0.2,511667,331072
SET,Est2(Tree),100,0.2,1347397,241600
GET,Densa,100,0.2,16411,0
